"CONTRATO";"OBJETO_CONTRATO";"NUMERO_ADVERTENCIA";"DATA_ADVERTENCIA";"DESCRICAO_ADVERTENCIA";"MOTIVO_ADVERTENCIA";"SOLICITACAO_ADVERTENCIA"
CT-00010/2016/ADR-CCO;EEB SÃO FRANCISCO;1;2017-02-07 00:00:00;Advertência Construtora RINOVI ;Retirada das portas dos banheiros sem reposição, interfererindo na privacidade dos alunos que fazem o uso do ambiente, problemas encontrados devido serviço mal executado, falta de acompanhamento do responsável técnico e ritmo lento de trabalho.;Agilidade nos serviços uma vez que a contratada apresentou trabalhadores esporadicamente nos últimos 30 dias, atrasando a conclusão. Ainda questiona-se a falta de acompanhamento do responsável técnico pela execução. Funcionário danificou  a cobertura e deixou o bloco 03 da Unidade Escolar sem energia em alguns pontos em realização de serviço necessitando reparo, instalação de grade deve ser reforçada e principalmete colocação das portas nos banheiros.
CT-00103/2016/SED;E.E.B. CORONEL GASPARINO ZORZI;1;2017-09-20 00:00:00;SOLICITAÇÃO ;FOI REALIZADO UMA VISTORIA NA OBRA E VERIFICOU-SE QUE NÃO ENCONTRAM-SE EXECUTADAS ALGUMAS VERGAS E CONTRAVERGAS DAS JANELAS DOS BANHEIROS, NA JANELA J4 DO PROJETO, AINDA A JANELA DA SALA DE APOIO DO AUDITÓRIO ENCONTRA-SE SEM TAMBÉM,RECOMENDA-SE A EXECUÇÃO DE TRANSPASSE DE NO MINIMO 30 CM DA ABERTURA DE CADA LADO. AINDA RECOMENDAMOS QUE PARA A REALIZAÇÃO DO REBOCO DAS PAREDES SEJA  PRIMEIRAMENTE REALIZADOS OS FECHAMENTOS DOS FUROS DOS TIJOLOS PARA POSTERIORMENTE A EXECUÇÃO DA CAMADA DO REBOCO.;QUE EM PRAZO DE 15 DIAS A CONTAR DO RECEBIMENTO DESTE SEJAM REALIZADOS AS CORREÇÕES DAS VERGAS E CONTRAS VERGAS DA JANELAS QUE NÃO FORAM EXECUTADAS. APÓS A EXECUÇÃO ENCAMINHAR FOTOS QUE COMPROVEM A EXECUÇÃO DAS MESMAS.
CT-00154/2016/SDC;INSTALAÇÃO RADAR METEOROLÓGICO DA REGIÃO OESTE- HELIPONTO RESERVATÓRIO DE ÁGUA;1;2017-03-13 00:00:00;Primeira Advertência;Em visita à obra de execução da Torre do Radar em Chapecó, na data de 13 de março de 2017, foi constatado que a obra não está de acordo com o cronograma executivo apresentado pela empresa a esta Secretaria;que, diante das inconformidades verificadas in loco, a empresa SALVER fica Notificada devendo apresentar novo Cronograma, em até 5 (cinco) dias, com as adequações necessárias para a conclusão da obra, visto que o prazo da obra não será adiado e que a obra da torre deverá finalizar no prazo contratual
CT-00154/2016/SDC;INSTALAÇÃO RADAR METEOROLÓGICO DA REGIÃO OESTE- HELIPONTO RESERVATÓRIO DE ÁGUA;2;2017-05-16 00:00:00;Descumprimento de cronograma;Atraso na execução da obra. Displicência no cumprimento do prazo cedido em primeiro termo aditivo de prazo, e a não apresentação de  cronograma atualizado, conforme solicitado em primeira advertência.;seja realizado cronograma definitivo da obra, que se cumpra no período acrescido de novo pré aditivo lançado, findando o prazo no dia 01 de julho de 2017.
CT-00154/2016/SDC;INSTALAÇÃO RADAR METEOROLÓGICO DA REGIÃO OESTE- HELIPONTO RESERVATÓRIO DE ÁGUA;3;2017-06-16 00:00:00;Notificação - Mal Funcionamento Ar Condicionado;Mal funcionamento do Sistema de Condicionadores de ar - falha no controle da temperatura - que congelaram na data de ontem no terceiro andar, onde fica a sala do radar. Ressaltamos que todos os equipamentos instalados naquele local não foram fabricados para suportar variações térmicas maiores do que 10°C.  A responsabilidade sobre os equipamentos ali instalados se danificados pelo mal funcionamento dos condicionadores de ar (serviço do contrato) será da empresa Notificada.;Apresentar a este Fiscal num prazo de 03 (três dias úteis) medidas adotadas pela empresa para a solução do problema. 
CT-00154/2016/SDC;INSTALAÇÃO RADAR METEOROLÓGICO DA REGIÃO OESTE- HELIPONTO RESERVATÓRIO DE ÁGUA;4;2017-08-28 00:00:00;Falha funcionamento sistema de climatização radar;Sistema de climatização apresentando problema, ocasionando interrupções repentinas. Sendo assim, incapaz de manter a ideal temperatura na sala dos equipamentos do radar, o que é indispensável para o funcionamento pleno deste.;seja realizada revisão geral do sistema compreendendo instalação, condensadora, evaporadora, tubulações e controles eletrônicos.  Caso necessário substituição e correções dos mesmos dentro do prazo de 4 dias. Deverá ser apresentado relatório técnico emitido por profissional habilitado e capacitado acerca do problema.
CT-00046/2016/IPREV;IPREV - SALA COMERCIAL;1;2017-01-09 00:00:00;Irregularidades na reforma do IPREV - Araranguá;"Em vistoria realizada no dia 26/01/2017 foram observadas alguns serviços executados de maneira que deixa a desejar:
- A fixação da tampa do quadro de dijuntores com parafusos, não está boa;
- Há pontos elétricos com fios expostos;
- A goteira na cobertura na sala administrativa continua;";Reparar os problemas citados.
CT-00013/2016/SOL;SECRETARIA DE EST. TURIS. CULTURA E ESPORTE ADMINISTRA O IMÓVEL;1;2017-11-14 00:00:00;Notificação por atraso no cronograma;Atraso no cronograma;Retomada imediata da obra e apresentação de Boletim de Medição
CT-00321/2015/FESAUDE;HOSPITAL CELSO RAMOS;1;2015-08-03 00:00:00;Acabamento de piso para portas dos andares;"o ""acabamento"" executado não foi aceito pela Fiscalização por não estar de acordo com as Normas vigentes e possuir péssimo visual";executar acabamento que atendam às Normativas de acordo com o solicitado pela Fiscalização
CT-00107/2015 SES;HOSPITAL INFANTIL JOANA DE GUSMÃO - HOSPITAL NEREU RAMOS(PROJETO DE DOAÇÃO EM TRAMITAÇÃO LEI 17.407);1;2016-04-27 00:00:00;Descumprimento de Prazos;A paralisação dos serviços impossibilita a conclusão da obra dentro do prazo previsto;A empresa deverá agilizar os serviços para retomar o cronograma e os prazos previstos, sob pena de aplicação das sanções contratuais
CT-00137/2015/CCT/UDESC;UDESC-FACULDADE DE ENGENHARIA DE JOINVILLE;1;2015-08-07 00:00:00;Advertência 01;"i.-Cronograma de execução das obras atrasado;
ii.-Ausência da apresentação da Matrícula de Obra (CEI);
iii.-Ausência da apresentação da Garantia Contratual;
iv.-Ausência de projetos executivos; ";"Apresentação de planilha de medição;
Apresentação da Matrícula CEI da obra;
Apresentação da Garantia Contratual;
Apresentação dos projetos executivos, preliminarmente à execução dos serviços;"
CT-00218/2015/CESFI/UDESC;UDESC - FUNDAÇÃO UNIVERSIDADE DE SC;1;2017-11-23 00:00:00;notificação de reclamatória trabalhista ;"A UDESC recebeu notificação de reclamatória trabalhista por parte do Sr. Mauro da Silva Souza, onde consta a UDESC como ré, juntamente com outras, conforme processo em tramitação na 1ª Vara do Trabalho de Balneário Camboriú de número: 0002388-96.2017.5.12.0040.
";Solicito esclarecimentos a respeito da  notificação de reclamatória trabalhista por parte do Sr. Mauro da Silva Souza, pois o vinculo contratual que a UDESC mantém, é com a Empresa IGESA Engenharia LTDA, não tendo relação com o reclamante, no prazo de cinco dias úteis a contar do recebimento desta.
CT-00004/2015/SDR-DCA;DELEGACIA DE POLÍCIA E CADEIA PÚBLICA;1;2015-08-13 00:00:00;LAJE DA MARQUISE;Falha na execução da laje de concreto armado da marquise em que resultou na sua demolição.;"Apresentar uma nova solução em estrutura metálica ou reconstrução da marquise em concreto conforme projeto.
Prazo de execução do serviço até 10 dias."
CT-00329/2015/FESAUDE;HOSPITAL CELSO RAMOS;1;2015-08-21 00:00:00;Ritmo lento de obra ;"RITMO LENTO ENSEJANDO A IMPOSSIBILIDADE DE CONCLUSÃO DA OBRA NO PRAZO ESTIPULADO; DESCUMPRIMENTO DO CRONOGRAMA FÍSICO-FINANCEIRO E CONSEQUENTEMENTE DO CONTRATO; NÃO UTILIZAÇÃO DE IPIs POR PARTE DOS FUNCIONÁRIOS DA EMPRESA; DIÁRIO DE OBRA INCOMPLETO; AUSÊNCIA DO PREPOSTO NA OBRA; E AUSÊNCIA DA PLACA DOS RESPONSÁVEIS TÉCNICOS";QUE A EMPRESA DEVERÁ EXECUTAR A OBRA CONFORME O CONTRATO ASSINADO ENTRE AS PARTES SOB PENA DE APLICAÇÃO DAS SANÇÕES PREVISTAS NO MESMO, BEM COMO O CUMPRIMENTO DA NR-18 REFERENTE A UTILIZAÇÃO DOS EPIs
CT-00001/2015/SDR-TAI;EEB LEOPOLDO JACOBSEN  CEJA;1;2015-08-10 00:00:00;Apresentação de projetos para 1ª medição;Não houve nenhuma apresentação de serviços para 1ª medição ;Apresentar de forma oficial como estão os trabalhos para definir a primeira medição
CT-00362/2015/FESAUDE;COMPLEXO DE SERVIÇOS DA SAÚDE;1;2015-08-17 00:00:00;Baixa qualidade dos serviços executados ;Que o serviço licitado foi o de recuperação da fachada, porém constatou-se que a recuperação foi executada pontualmente, marcando as correções ou, principalmente, a ausência das mesmas tornando as superfícies heterogêneas. Dutos de drenagem dos condicionadores de ar não foram remontados e etc.    ;Que se façam as correções de modo que a qualidade desejada seja atendida
CT-00362/2015/FESAUDE;COMPLEXO DE SERVIÇOS DA SAÚDE;2;2015-08-17 00:00:00;Baixa qualidade dos serviços executados 2;Foi verificado que as superfícies metálicas não foram preparadas adequadamente, tão pouco o isolamento do entorno, manchando paredes, pisos, esquadrias e dutos  existentes na fachada. O rejuntamento e o acabamento do revestimento cerâmico da copa estão com qualidade ruim. TODAS as peças do telhado que possuem defeito devem ser substituídas por novas, de forma que o telhado fique padronizado.; Que se façam as correções de modo que a qualidade desejada seja atendida
CT-00362/2015/FESAUDE;COMPLEXO DE SERVIÇOS DA SAÚDE;3;2015-09-17 00:00:00;Resolução de Pendências;que o volume de serviço ainda pendente poderá extrapolar o tempo de execução previsto em contrato. Há infiltrações na cobertura, falhas na pintura e textura, ausência do guarda corpo, serviços não concluídos na copa, sujeira no pátio, etc. Conforme já repassado em reunião;Que se faça a conclusão das pendencias existentes com a máxima qualidade esperada o mais breve possível evitando as futuras sanções previstas no contrato
CT-00370/2015/FESAUDE;HOSPITAL CELSO RAMOS;1;2016-02-15 00:00:00;Notificação 1;Conforme cronograma apresentado, o envio do projeto da subestação aprovado com memorial descritivo e levantamento de carga atualizados e a resposta ao parecer técnico da GEOMA seria encaminhada dia 10/02/2016. Desta forma, alertamos a empresa deste prazo.;Agilidade na execução dos serviços para fazer cumprir o cronograma assumido. 
CT-00370/2015/FESAUDE;HOSPITAL CELSO RAMOS;2;2016-06-23 00:00:00;Notificação 2;Ritmo lento para finalização dos trabalhos. Informamos que o prazo contratual final é de 10/07/2016 e não há nenhum impedimento técnico para a não continuidade ágil dos serviços;"Agilidade para finalização dos serviços conforme cronograma com apresentação final de todos os projetos contratados e orçamento da obra para aprovação da fiscalização em tempo hábil
"
CT-00403/2015/FESAUDE;HOSPITAL INFANTIL JOANA DE GUSMÃO - HOSPITAL NEREU RAMOS(PROJETO DE DOAÇÃO EM TRAMITAÇÃO LEI 17.407);1;2016-12-15 00:00:00;DESCUMPRIMENTO DO CONTRATO;ENTREGA DAS CAIXAS D'ÁGUA REJEITADAS PELA FISCALIZAÇÃO POR NÃO ATENDEREM AS PRESCRIÇÕES NORMATIVAS (ABNT NBR-13.210) E DE ÓRGÃOS REGULAMENTADORES (INMETRO) DESCUMPRINDO A CLÁUSULA NONA (OBRIGAÇÕES) DO CONTRATO.;QUE A EMPRESA DEVERÁ SUBSTITUIR AS CAIXAS D'ÁGUA POR OUTRAS QUE ATENDAM INTEGRALMENTE AS NORMAS TÉCNICAS DA ABNT E DE ÓRGÃOS REGULAMENTADORES.
CT-00403/2015/FESAUDE;HOSPITAL INFANTIL JOANA DE GUSMÃO - HOSPITAL NEREU RAMOS(PROJETO DE DOAÇÃO EM TRAMITAÇÃO LEI 17.407);2;2017-01-26 00:00:00;FALHAS GRAVES NA EXECUÇÃO DO CONTRATO;"FALHAS GRAVES NA EXECUÇÃO DOS SERVIÇOS COM UTILIZAÇÃO DE ARGAMASSA DE REVESTIMENTO APRESENTANDO-SE PULVERULENTA E PORTANTO EM DESACORDO COM A NBR 13749/1996; REJEIÇÃO PELA FISCALIZAÇÃO DAS CAIXAS D'ÁGUA POR NÃO ATENDEREM AS PRESCRIÇÕES NORMATIVAS (NBR 13210/2005) E DE ÓRGÃOS REGULAMENTADORES; CONTRAPISO COM ASPECTO VISUAL DEPLORÁVEL; INFILTRAÇÕES NA LAJE; TUBOS APARENTES DA REDE PLUVIAL, SUJOS, COM RESPINGOS DE PINTURA, SEM INSPEÇÃO; RALOS NÃO DEVIDAMENTE PROTEGIDOS.";QUE A EMPRESA DEVERÁ REFAZER OS SERVIÇOS DE FORMA A GARANTIR A QUALIDADE, DURABILIDADE E RESISTÊNCIA DOS SERVIÇOS EXECUTADOS E MATERIAIS EMPREGADOS, BEM COMO DE GARANTIR CONDIÇÕES ESTRUTURAIS E FUNCIONAIS INDISPENSÁVEIS AO CUMPRIMENTO DA VIDA ÚTIL PREVISTA PARA A EDIFICAÇÃO, SOB PENA DA ABERTURA DO DEVIDO PROCESSO ADMINISTRATIVO PARA APURAR AS FALTAS COMETIDAS, ENSEJANDO NA RESCISÃO UNILATERAL DO CONTRATO E APLICAÇÃO DAS PENALIDADES PREVISTAS.        
CT-00403/2015/FESAUDE;HOSPITAL INFANTIL JOANA DE GUSMÃO - HOSPITAL NEREU RAMOS(PROJETO DE DOAÇÃO EM TRAMITAÇÃO LEI 17.407);3;2017-01-26 00:00:00;INEXECUÇÃO CONTRATUAL;"AUSÊNCIA DO PREPOSTO NA OBRA; NÃO UTILIZAÇÃO DOS EPIs POR PARTE DOS FUNCIONÁRIOS DA CONTRATADA; DESCUMPRIMENTO DO CRONOGRAMA FÍSICO-FINANCEIRO; PARALISAÇÃO INJUSTIFICADA DOS SERVIÇOS ENSEJANDO NA IMPOSSIBILIDADE DE CONCLUSÃO DA OBRA NO PRAZO ESTIPULADO; GARANTIA CONTRATUAL DESATUALIZADA.";QUE A EMPRESA DEVERÁ ADEQUAR O ANDAMENTO PREVISTO PARA A OBRA DE ACORDO COM AS CLÁUSULAS AVENÇADAS, SOB PENA DA ABERTURA DO DEVIDO PROCESSO ADMINISTRATIVO PARA APURAR AS FALTAS COMETIDAS, ENSEJANDO NA RESCISÃO UNILATERAL DO CONTRATO, RETENÇÃO DA GARANTIA CONTRATUAL OU DE CRÉDITOS DEVIDOS E SUSPENSÃO DO DIREITO DE LICITAR COM A ADMINISTRAÇÃO, BEM COMO DA APLICAÇÃO DAS PENALIDADES PREVISTAS.
CT-00399/2015/FESAUDE;HOSPITAL REGIONAL DE SÃO JOSÉ - DR. HOMERO DE MIRANDA GOMES;1;2017-03-07 00:00:00;Notificação: cumprimento dos prazos contratuais;Foi solicitado, no dia 23/02/2017, que a contratada entregasse na GEOMA (com prazo máximo de 06/03/2017) cópia plotada do projeto com as alterações requeridas na última reunião. Porém, o prazo limite não foi cumprido pela contratada e nenhuma entrega foi efetuada até o dia 06/03/2017;agilidade na execução dos serviços para fazer cumprir o cronograma
CT-00004/2015/SIE;EDIFÍCIO DAS DIRETORIAS;1;2015-07-02 00:00:00;Descumprimento da Cláusula Quinta - Dos Prazos;"Conforme Clausula Quinta - Dos Prazos estabelecida no Contrato nº. 04/2015 a empresa SC ENGENHARIA E GEOTECNOLOGIA LTDA, deveria apresentar no prazo de 30 dias a partir da Ordem de Serviço datada de 06/03/2015 a Impressão Definitiva dos Projetos Executivos, conforme Lote 01: Município de Forquilhinha, Garopaba, Imaruí e Nova Veneza; Lote 02: Municípios de São Pedro de Alcantara e Biguaçú; e Lote 03: Município de Abelardo Luz, nos padrões estabelecidos pelo DEINFRA/SC, ou seja no dia 06/04/2015.";Solicitamos que seja cumprido imediatamente o que estabelece o Item Contratual ou seja a entrega dos projetos citados no prazo máximo de 05 (cinco) dias deste aviso sob pena de cumprimento integral das Sanções impostas no Contrato. Informamos ainda que a data do Contrato é do dia 23/02/2015 e a Ordem de Serviço é de 06/03/2015 ou seja o prazo estabelecido no cronograma para a entrega dos projetos era de 06/04/2015. Segue cópia do Contrato 004/2015 e da página 79 do processo SIE 1930/2013.
CT-00429/2015/FESAUDE;MATERNIDADE CARMELA DUTRA (HEMOSC - CEPON);1;2016-04-25 00:00:00;DESCUMPRIMENTO DOS PRAZOS;RITMO LENTO E POR VEZES A PARALISAÇÃO DOS SERVIÇOS, COMPROMETENDO O CRONOGRAMA INICIALMENTE PREVISTO, ENSEJANDO A IMPOSSIBILIDADE DE CONCLUSÃO DOS SERVIÇOS NO PRAZO ESTIPULADO CONFORME CLÁUSULA PRIMEIRA (DO OBJETO, ESPECIFICAÇÃO E QUANTIDADE) E CLÁUSULA QUARTA (DA VIGÊNCIA) DO CONTRATO FIRMADO ENTRE AS PARTES. ;QUE A EMPRESA DEVERÁ ADEQUAR O RITMO DOS SERVIÇOS AO CRONOGRAMA E PRAZOS PREVISTOS, SOB PENA DE APLICAÇÃO DAS SANÇÕES CONTRATUAIS
OF-01582/2015/FESAUDE;COMPLEXO DE SERVIÇOS DA SAÚDE;1;2015-08-03 00:00:00;Advertência por alteração de projeto.;Cumprimento irregular do projeto e desacato a autoridade designada para fiscalizar o contrato;Que a empresa deverá adequar os serviços de acordo com o projeto contratado sob pena de aplicação das sansões previstas no referido instrumento
CT-00443/2015/FESAUDE;HOSPITAL CELSO RAMOS;1;2016-02-24 00:00:00;Notificação - Cumprimento dos prazos contratuais;Conforme cronograma do contrato, restará somente um (01) mês para a finalização de todos os serviços. Desta forma, alertamos a empresa deste prazo, tendo em vista, que o mesmo não será prorrogado. Destaca-se que ainda é necessário aprovação de todos os projetos finais pela fiscalização e análise detalhada do orçamento. ;Agilidade na execução dos serviços para fazer cumprir o cronograma. Conforme já solicitado, realizar a atualização do seguro/caução do CT 443-2015  até 3 meses após o final do contrato programado para 22/03/2017. Também, realizar a atualização da ART da contratada.
CT-00159/2015/SSP-FMSP;POLÍCIA MILITAR DE SANTA CATARINA;1;2016-12-09 00:00:00;Advertência;Atraso na execução do contrato nº 159/SSP/2015, de acordo com o estabelecido no referido contrato (cláusula segunda - dos prazos de início e conclusão dos serviços e cláusula décima segunda - das sanções administrativas);Aplicação de advertência para a empresa Pagnussatti Construção e Incorporação Ltda
CT-00002/2015/SDR-MAR;EEB JOSÉ MARCOLINO ECKERT;1;2015-09-29 00:00:00;Limpeza no canteiro de obra.;Conforme visita in loco realizada na obra da EEB José Marcolino Eckert, foi constatado a presenção de restos de materiais de constração espalhado no pátio da escola (madeira, ferro, pregos em madeira, peçados de alvenaria) e depósito de ferramentas de construção deixado em local inadequado, tal situação pode causar risco a integridade fisica dos funcionários da empresa e dos aulos e professores que circulam neste ambiente, sendo necessário isolar a área de construção dos usuários da escola.     ; Solicitamos que seja regulariado tal situação num prazo de 10 dias corrigos estando sujeito a multas e pena cabiveis constante no contrato vigente.  
CT-00512/2015/FESAUDE;HOSPITAL REGIONAL DE SÃO JOSÉ - DR. HOMERO DE MIRANDA GOMES;1;2019-01-31 00:00:00;Inadequações no Projeto Estrutural;As diversas solicitações já realizadas sobre projeto estrutural e a recorrência das mesmas, sendo que as repostas mencionam que as situações foram atendidas, mas a fiscalização não comprovou tal fato;O atendimento a todas as adequações indicadas pela fiscalização
CT-00155/2015/SSP-FMSP;CORPO DE BOMBEIROS E POLÍCIA MILITAR DE SANTA CATARINA;1;2017-01-19 00:00:00;ADVERTÊNCIA;Atrazo na execução do contrato 155/SSP/2015, de acordo com o estabelecido no referido contrato (cláusula segunda - dos prazos de início e conclusão dos serviços e cláusula décima segunda - das sanções administrativas).;Aplicação de advertência para a Construtora e Incorporadora Ruiz Ltda - ME.
CT-00155/2015/SSP-FMSP;CORPO DE BOMBEIROS E POLÍCIA MILITAR DE SANTA CATARINA;2;2017-06-14 00:00:00;ADVERTÊNCIA;Atrazo na execução do contrato 155/SSP/2015, de acordo com o estabelecido no referido contrato (cláusula segunda - dos prazos de início e conclusão dos serviços e cláusula décima segunda - das sanções administrativas).;Aplicação de advertência para a Construtora e Incorporadora Ruiz Ltda - ME.
CT-00155/2015/SSP-FMSP;CORPO DE BOMBEIROS E POLÍCIA MILITAR DE SANTA CATARINA;3;2017-08-18 00:00:00;Inserido errado;Nao efetuado, advertencia inserido errado;nao solicitado
CT-00008/2015/SED;EEB HENRIQUE RUPP JUNIOR =- CORPO DE BOMBEIROS MILITAR;1;2016-07-20 00:00:00;IRREGULARIDADES INSTALAÇÕES ELÉTRICAS ;FOI VERIFICADA QUE AS LUMINÁRIAS INSTALADAS NAS SALAS DE AULA ESTÃO APRESENTANDO PROBLEMAS E GERANDO A QUEIMA DAS LAMPADAS PREJUDICANDO A LUMINOSIDADE PREVISTA EM PROJETO.;TROCAS DA LUMINÁRIAS E LAMPADAS COM DEFEITO PARA SOLUÇÃO DO PROBLEMA.
CT-00008/2015/SED;EEB HENRIQUE RUPP JUNIOR =- CORPO DE BOMBEIROS MILITAR;2;2017-04-11 00:00:00;IRREGULARIDADES EXECUTIVAS;FOI REALIZADO UMA VISTORIA NA EDIFICAÇÃO DA EEB HENRIQUE RUPP JUNIOR PARA AVERIGUAÇÃO DE ALGUNS ITENS QUE APRESENTAM PROBLEMA. PODE-SE OBSERVAR QUE AS INSTALAÇÕES ELÉTRICAS TANTO NA PARTE DE ILUMINAÇÃO COMO NA PARTE DAS TOMADAS APRESENTAM PROBLEMAS, COMO POR EXEMPLO A QUEIMA CONSTANTE DE LÂMPADAS, AINDA NA PARTE DE TOMADAS APRESENTA ALGUMAS CAIXA EM PVC DANIFICADAS E ALGUMAS NÃO ESTÃO FUNCIONANDO. TAMBÉM ALGUMAS JANELAS DE ALUMINIU APRESENTAM-SE DANIFICADAS POR DEFEITO DA MONTAGEM DA ESQUADRIA.;EM UMA PRAZO DE 15 DIAS UTÉIS A EMPRESA QUE SE MANIFESTE SOBRE O ASSUNTO E SEJAM FEITOS OS REPAROS NECESSÁRIOS NO MÁXIMO EM 30 DIAS UTÉIS. 
CT-01529/2015/UDESC;UDESC - Fundação Universidade de SC;1;2016-02-08 00:00:00;notificação para concluir serviços pendentes;falta de conclusão dos serviços de supra-estrutura (estrutura de concreto pré moldado), que conforme cronograma estão atrasados e sem andamento desde 23/12/2016.;"solicito que sejam concluídos os serviços de supra estrutura, de forma a retomar o cronograma vigente.
os serviços devem ser retomados em 5 dias após o recebimento deste, ficando a contratada sujeita às penalidades conforme clausulas contratuais e legais."
CT-01529/2015/UDESC;UDESC - Fundação Universidade de SC;2;2017-04-06 00:00:00;solicitação de esclarecimentos;Esta fiscalização recebeu da direção administrativa da UDESC/Ibirama informação de que foi dada entrada na Vara do Trabalho de Mafra - Santa Catarina, de RECLAMATÓRIA TRABALHISTA, peticionada pelo Sr. Eraldo Sebastião de Assis (cpf nº 420.411.479-20), onde há a citação da Universidade do Estado de Santa Catarina - UDESC.;Considerando que não há vinculo da UDESC com nenhuma das partes citadas na reclamatória, vem esta fiscalização solicitar esclarecimentos se alguma das partes prestou serviços na obra atualmente em andamento na UDESC- Ibirama, no prazo de 5 dias úteis a contar desta data.
CT-00547/2015/FESAUDE;HOSPITAL CELSO RAMOS,EDIFÍCIO HALLEY,HOSPITAL E MATERNIDADE TEREZA RAMOS,HOSPITAL REGIONAL DE SÃO JO;1;2018-06-27 00:00:00;Notificação 01;A morosidade nas entregas e finalizações dos projetos dos diversos hospitais. Baixa qualidade em algumas entregas apresentadas, gerando retrabalho nos diversos projetos e peças técnicas e atrassos no cronograma;Agilidade na execução dos serviços. Finalização de todos os projetos contratados e orçamentação para o HGCR. Entrega dos laudos de sondagem e projetos de engenharia para os hospitais cujo projetos arquitetônicos já foram aprovados na Vigilância Sanitária: HGCR, MCD, MDV, HGMTR e HDWC. 
CT-00547/2015/FESAUDE;HOSPITAL CELSO RAMOS,EDIFÍCIO HALLEY,HOSPITAL E MATERNIDADE TEREZA RAMOS,HOSPITAL REGIONAL DE SÃO JO;2;2019-08-06 00:00:00;Notificação 2;Tendo em vista as solicitações não atendidas da fiscalização para dar entrada no processo de aprovação do projeto do IPQ na Vigilância Sanitária. O último email encaminhado sobre o tema foi do dia  29/07/2019 sem retorno;"Que o projeto seja protocolado com a máxima urgência e encaminhado o protocolo a fiscalização. 
Agilidade na execução dos serviços, tendo em vista o cumprimento do prazo contrataual estabelecido"
CT-00547/2015/FESAUDE;HOSPITAL CELSO RAMOS,EDIFÍCIO HALLEY,HOSPITAL E MATERNIDADE TEREZA RAMOS,HOSPITAL REGIONAL DE SÃO JO;3;2020-10-22 00:00:00;Advertência 03 ;A morosidade nas entregas e finalizações dos projetos dos diversos hospitais. Demora no retorno as solicitações de adequações. ;Agilidade na execução dos serviços. Finalização de todos os elementos técnicos para unidades mais avançadas. 
CT-00012/2015/SDR-SAR;MANUTENÇÃO BEM PÚBLICO - ADR DE CONCÓRDIA;1;2015-12-18 00:00:00;Advertência ;A roçada que está sendo realizada pela empresa vencedora da licitação, não está de acordo com o memorial descritivo. Em vários locais não é roçado os dois metros exigidos e os quatro metros de altura das arvores. Vários pontos também não foram recolhidos os materiais roçados, fato esse que poderá trancar as sarjetas e  bueiros. A empresa já foi notificada por diversas vezes verbalmente, mas prosseguiu com o erro da mesma forma.;Os serviços sejam executados conforme memorial descritivo e solicitação da fiscal.
CT-00116/2015/SEDC;SEDE DA SECRETARIA DE ESTADO DA DEFESA CIVIL;1;2016-03-02 00:00:00;Notificação sobre pontos provisórios de obra;A Contratada estar utilizando energia elétrica e água da Secretaria de Estado da Defesa Civil desde o início da obra. Isso vem gerando custos adicionais à SDC quanto à energia e água;que providencie, no prazo de 05 dias úteis, a ligação de pontos provisórios de obra de energia e água, desvinculando do ponto da Secretaria de Estado da Defesa Civil. Fica a empresa obrigada a ressarcir aos cofres públicos o consumo excedente apurado desde o início da obra até o efetivo desligamento
CT-00116/2015/SEDC;SEDE DA SECRETARIA DE ESTADO DA DEFESA CIVIL;2;2017-03-13 00:00:00;Segunda notificação do contrato CT-00116/2015/SEDC;Atraso no andamento das obras.;"
A empresa Ramses Engenharia apresentou a esta Secretaria, o Cronograma de entrega de produtos/serviços da obra, porém foi constatado em fiscalização in loco realizada no dia 17/02/2017, que as seguintes entregas estão atrasadas.
"
CT-00116/2015/SEDC;SEDE DA SECRETARIA DE ESTADO DA DEFESA CIVIL;3;2017-03-13 00:00:00;Terceira notificação do contratoCT-00116/2015/SEDC;Atraso no andamento das obras.;A empresa Ramses Engenharia apresentou a esta Secretaria, o Cronograma de entrega de produtos/serviços da obra, porém foi constatado em fiscalização in loco realizada no dia 24/02/2017, que as entregas estão atrasadas.
CT-00116/2015/SEDC;SEDE DA SECRETARIA DE ESTADO DA DEFESA CIVIL;4;2017-03-13 00:00:00;Quarta notificação do contrato CT-00116/2015/SEDC;Atraso no andamento das obras.;A empresa Ramses Engenharia apresentou a esta Secretaria, o Cronograma de entrega de produtos/serviços da obra, porém foi constatado em fiscalização in loco realizada no dia 24/02/2017, que as entregas estão atrasadas.
CT-00116/2015/SEDC;SEDE DA SECRETARIA DE ESTADO DA DEFESA CIVIL;5;2017-03-22 00:00:00;Sexta notificação do contratoCT-00116/2015/SED;Falhas construtivas na execução do muro de arrimo localizado entre a edificação Centro Integrado de Gerenciamento de Riscos e Desastres e a Avenida Ivo Silveira. Executado pela empresa Ramses Engenharia LTDA.;Diante do exposto e Considerando o Art. 69 da Lei 8666/93, esta fiscalização solicitou reparo imediato nos vícios, defeitos ou incorreções resultantes da execução.
